22124	10779
25623	13978
25623	14396
24820	13979
21013	10772
21013	10773
21013	12180
22114	10778
22114	10930
21013	10772
21013	10773
21013	11668
22114	10778
22114	10930
23113	10780
23113	14760
24413	10953
25413	10955
25413	12721
24820	12078
15231	12753
15241	12754
15731	12752
26613	13898
23123	10776
23123	14249
25012	11808
25022	11809
25032	11810
24723	11868
25723	11608
25723	13893
26890	14652
26213	13894
26323	13895
26353	14609
26880	14607
23233	10892
24313	10897
25313	10898
24820	14354
26823	13897
24143	10893
24613	12128
25613	12113
24820	14623
21013	10774
21114	10777
22124	13888
23613	13923
24820	14394
21013	10772
21013	10773
21013	10775
21013	12180
24830	14458
25830	12181
26543	13899
21013	64105
22124	60563
26523	62619
21013	62311
21013	60660
22114	60561
22114	60562
22114	62203
23113	60664
23113	64661
24713	60839
25713	60840
25713	64029
25012	60991
25022	60992
25032	60993
24223	61034
25223	61104
25723	61520
26890	64807
26223	63995
26253	62616
26313	63996
26890	64818
21013	61841
23223	60850
24113	60662
26880	64891
24433	62198
25433	62199
21013	60659
21114	60560
21114	63894
22124	63904
23113	60664
23113	64661
24543	60661
25543	60665
25543	64028
24830	64680
25830	63240
25830	63374
21114	63700
25012	60668
25022	60669
25032	60670
23223	60571
24820	62418
21114	62868
21114	62867
21013	60451
22114	60372
22114	60373
22114	61291
21013	61666
22124	60374
22124	62827
23233	62828
24143	61922
24830	61754
24113	60453
25113	61939
24113	64293
24113	62423
25113	61940
24223	60693
25223	60731
21013	61128
32004	62641
33003	63168
33023	63169
21013	61330
21093	60381
21114	60371
21114	61635
22114	62276
24143	61922
24713	60568
25713	60569
25713	61640
26523	64693
23113	60454
24543	60452
25543	60455
25543	62955
24723	61937
25723	60974
42214	10199
42214	11625
43254	10696
44533	13761
45533	13760
41023	14707
42204	13180
43243	13182
44403	13184
41043	12159
43133	13568
53233	10185
53233	11688
53233	12339
41023	11825
41023	11867
41023	11862
41023	11826
41023	12303
41023	11863
41033	11815
41033	11828
41033	11843
41033	13287
41033	11816
41033	11817
41033	11818
41033	11844
41054	11864
42143	10196
42143	13523
42183	11743
42204	10203
44590	14811
41054	11864
41023	11862
41023	11863
41023	14668
41033	11828
41033	13287
41023	10178
41023	10180
41023	12186
42143	10191
42143	10396
41054	10184
41054	10187
41054	10658
42194	10201
41023	11357
42143	10193
42143	12191
52003	12669
41023	13173
41023	14731
41023	14708
41023	14709
42194	14839
41033	11843
41033	11844
41033	11818
43003	10565
44581	11319
52003	12487
53033	12164
53233	10808
53233	12193
53233	11652
41023	10176
41023	10179
41023	11825
41023	11862
41023	11826
41023	12303
41023	11863
41033	10183
41033	11843
41033	11844
41043	10997
41054	11864
42143	10198
41023	10181
41023	11720
42113	10188
42113	12485
41023	10177
41023	14673
42123	10418
43133	10710
53233	13215
53233	14727
53233	14726
41023	11867
42204	11601
42204	10204
42204	11622
44563	10421
45563	10422
43243	10419
43243	11626
46863	13758
53033	12163
53233	10186
53243	12486
41023	14849
41023	12456
41023	14760
41043	12040
42143	12296
53233	14441
53233	12295
41023	10001
41023	12489
41023	10217
41023	13025
43323	12248
44403	10202
44403	11318
44403	12900
46613	13759
41054	14710
41054	13175
42194	13176
42194	13177
42194	13178
42123	10189
42204	10197
43133	12671
43343	10420
44581	11319
43254	13183
41023	13166
41023	13168
41023	13171
41033	11815
41033	11816
41033	11817
41023	11825
41023	11826
41023	12303
41023	12186
54473	10488
56643	12162
41023	10175
42214	11600
43254	10200
43254	13405
44590	14652
54463	10424
55463	10510
42214	13181
43133	11045
53233	11100
53233	11739
56623	13763
56713	13762
26823	14565
21114	13868
25012	11463
25022	11464
25032	11465
15231	11773
15241	11774
15731	11772
25623	12229
24623	15059
23223	14835
21013	10647
21013	10648
21013	11696
22114	10652
22114	10773
22124	10653
23113	10654
23233	14827
24613	14790
24723	11500
24143	10739
25830	11697
26613	14597
26213	14494
26323	14495
26353	14496
26880	12370
26880	13356
26890	13355
26890	13407
24313	10743
25313	10744
24313	14822
25313	11335
25313	15114
24820	13612
26880	13581
26880	13586
26880	13600
26890	15022
23123	10650
21013	10646
21114	10651
23233	10738
23613	12206
23613	14821
26880	13603
26823	14568
25012	14832
25022	14833
25032	14834
24820	14951
42183	60236
42214	60235
42214	62707
44403	61524
44403	61394
44590	62766
53233	63489
53233	63509
53233	63510
41023	61629
41023	61919
40173	64285
41043	61673
43133	62706
43133	62131
